"treatment","root11","Date","aboveC","treeC"
"ambient-dry",1924.71619002528,2009-03-16,8722.23560134079,10646.9517913661
"ambient-wet",2702.81443155963,2009-03-16,12649.2378293066,15352.0522608662
"elevated-dry",1841.94196684683,2009-03-16,7531.95981452447,9373.9017813713
"elevated-wet",1517.43930466286,2009-03-16,7512.2970424197,9029.73634708255
